,K,pc,s,mu,D,beta,u1eq,u2eq,bueq,r1eq,r2eq,Weq,NumInitials,C_s,C_D,difference,y_neg_invades,y_pos_invades,x_neg_invades,x_pos_invades
672,0.060598,0.933193,0.5,2.0,-0.8,0.5,0.499071,0.499071,0.001858,0.750464,0.750464,3.379274,64,-0.0057077246974949,-1.2501984682281332e-05,0.0,True,False,True,False
673,0.060598,0.933193,0.5,2.0,-0.8,0.75,0.498999,0.498999,0.002001,0.625751,0.625751,3.138958,64,-0.0119829595522985,-1.2092237686701872e-05,0.0,True,False,True,False
674,0.060598,0.933193,0.5,2.0,-0.8,1.0,0.498915,0.498915,0.002169,0.501085,0.501085,2.898735,64,-0.0192949813265851,-1.1365508520887985e-05,0.0,True,False,True,False
675,0.060598,0.933193,0.5,2.0,-0.6,0.0,0.499187,0.499187,0.001627,1.0,1.0,3.860107,64,0.0044975262770999,-1.2762869979082298e-05,0.0,True,False,False,True
676,0.060598,0.933193,0.5,2.0,-0.6,0.25,0.499132,0.499132,0.001736,0.875217,0.875217,3.619657,64,-0.0002698930992758,-1.2718181932597049e-05,0.0,True,False,True,False
677,0.060598,0.933193,0.5,2.0,-0.6,0.5,0.49907,0.49907,0.001861,0.750465,0.750465,3.379267,64,-0.0057138062074438,-1.251548465603991e-05,0.0,True,False,True,False
678,0.060598,0.933193,0.5,2.0,-0.6,0.75,0.498997,0.498997,0.002005,0.625752,0.625752,3.138953,64,-0.0119888825044882,-1.2116436470572649e-05,0.0,True,False,True,False
679,0.060598,0.933193,0.5,2.0,-0.6,1.0,0.498913,0.498913,0.002174,0.501087,0.501087,2.898733,64,-0.0193004803786243,-1.1386511872564975e-05,0.0,True,False,True,False
680,0.060598,0.933193,0.5,2.0,-0.4,0.0,0.499185,0.499185,0.001629,1.0,1.0,3.860097,64,0.0044912219868083,-1.2794299931503604e-05,0.0,True,False,False,True
681,0.060598,0.933193,0.5,2.0,-0.4,0.25,0.499131,0.499131,0.001739,0.875217,0.875217,3.619648,64,-0.0002761230112737,-1.2732865786757872e-05,0.0,True,False,True,False
682,0.060598,0.933193,0.5,2.0,-0.4,0.5,0.499068,0.499068,0.001864,0.750466,0.750466,3.37926,64,-0.0057199530707805,-1.2542442183917082e-05,0.0,True,False,True,False
683,0.060598,0.933193,0.5,2.0,-0.4,0.75,0.498995,0.498995,0.002009,0.625753,0.625753,3.138948,64,-0.0119948289453039,-1.2140635407592098e-05,0.0,True,False,True,False
684,0.060598,0.933193,0.5,2.0,-0.4,1.0,0.498911,0.498911,0.002179,0.501089,0.501089,2.898731,64,-0.0193059998178302,-1.1407515419369382e-05,0.0,True,False,True,False
685,0.060598,0.933193,0.5,2.0,-0.2,0.0,0.499184,0.499184,0.001632,1.0,1.0,3.860087,64,0.0044849557580886,-1.2810031561230164e-05,0.0,True,False,False,True
686,0.060598,0.933193,0.5,2.0,-0.2,0.25,0.499129,0.499129,0.001742,0.875218,0.875218,3.619639,64,-0.0002823906149031,-1.2762216562507492e-05,0.0,True,False,True,False
687,0.060598,0.933193,0.5,2.0,-0.2,0.5,0.499066,0.499066,0.001868,0.750467,0.750467,3.379253,64,-0.0057261261006267,-1.2569399894001975e-05,0.0,True,False,True,False
688,0.060598,0.933193,0.5,2.0,-0.2,0.75,0.498993,0.498993,0.002013,0.625755,0.625755,3.138943,64,-0.0120007521142082,-1.2164853938041077e-05,0.0,True,False,True,False
689,0.060598,0.933193,0.5,2.0,-0.2,1.0,0.498908,0.498908,0.002183,0.501092,0.501092,2.898728,64,-0.0193115414331897,-1.1439021105436072e-05,0.0,True,False,True,False
690,0.060598,0.933193,0.5,2.0,-0.0,0.0,0.499183,0.499183,0.001634,1.0,1.0,3.860077,64,0.0044786742594108,-1.282576327215957e-05,0.0,True,False,False,True
691,0.060598,0.933193,0.5,2.0,-0.0,0.25,0.499128,0.499128,0.001745,0.875218,0.875218,3.619631,64,-0.0002886560713547,-1.2776897085111298e-05,0.0,True,False,True,False
692,0.060598,0.933193,0.5,2.0,-0.0,0.5,0.499064,0.499064,0.001871,0.750468,0.750468,3.379246,64,-0.0057323252972477,-1.2596357786293129e-05,0.0,True,False,True,False
693,0.060598,0.933193,0.5,2.0,-0.0,0.75,0.498991,0.498991,0.002017,0.625756,0.625756,3.138938,64,-0.0120067455424921,-1.2189053219994112e-05,0.0,True,False,True,False
694,0.060598,0.933193,0.5,2.0,-0.0,1.0,0.498906,0.498906,0.002188,0.501094,0.501094,2.898726,64,-0.0193171067447581,-1.146002514005194e-05,0.0,True,False,True,False
